( -1.299  2.801  0.501 )
( -1.299  2.901  0.501 )
( -1.299  2.999  0.501 )
( -1.199  -0.999  0.501 )
( -1.199  -0.899  0.501 )
( -1.199  -0.799  0.501 )
( -1.199  -0.699  0.501 )
( -1.199  -0.599  0.501 )
( -1.199  -0.499  0.501 )
( -1.199  -0.399  0.501 )
( -1.199  -0.299  0.501 )
( -1.199  -0.199  0.501 )
( -1.199  -0.099  0.501 )
( -1.199  0.001  0.501 )
( -1.199  0.101  0.501 )
( -1.199  0.201  0.501 )
( -1.199  0.301  0.501 )
( -1.199  0.401  0.501 )
( -1.199  0.501  0.501 )
( -1.199  0.601  0.501 )
( -1.199  0.701  0.501 )
( -1.199  0.801  0.501 )
( -1.199  0.901  0.501 )
( -1.199  1.001  0.501 )
( -1.199  1.101  0.501 )
( -1.199  1.201  0.501 )
( -1.199  1.301  0.501 )
( -1.199  1.401  0.501 )
( -1.199  1.501  0.501 )
( -1.199  1.601  0.501 )
( -1.199  1.701  0.501 )
( -1.199  1.801  0.501 )
( -1.199  1.901  0.501 )
( -1.199  2.001  0.501 )
( -1.199  2.101  0.501 )
( -1.199  2.201  0.501 )
( -1.199  2.301  0.501 )
( -1.199  2.401  0.501 )
( -1.199  2.501  0.501 )
( -1.199  2.601  0.501 )
( -1.199  2.701  0.501 )
( -1.199  2.801  0.501 )
( -1.199  2.901  0.501 )
( -1.199  2.999  0.501 )
( -1.099  -0.999  0.501 )
( -1.099  -0.899  0.501 )
( -1.099  -0.799  0.501 )
( -1.099  -0.699  0.501 )
( -1.099  -0.599  0.501 )
( -1.099  -0.499  0.501 )
( -1.099  -0.399  0.501 )
( -1.099  -0.299  0.501 )
( -1.099  -0.199  0.501 )
( -1.099  -0.099  0.501 )
( -1.099  0.001  0.501 )
( -1.099  0.101  0.501 )
( -1.099  0.201  0.501 )
( -1.099  0.301  0.501 )
( -1.099  0.401  0.501 )
( -1.099  0.501  0.501 )
( -1.099  0.601  0.501 )
( -1.099  0.701  0.501 )
( -1.099  0.801  0.501 )
( -1.099  0.901  0.501 )
( -1.099  1.001  0.501 )
( -1.099  1.101  0.501 )
( -1.099  1.201  0.501 )
( -1.099  1.301  0.501 )
( -1.099  1.401  0.501 )
( -1.099  1.501  0.501 )
( -1.099  1.601  0.501 )
( -1.099  1.701  0.501 )
( -1.099  1.801  0.501 )
( -1.099  1.901  0.501 )
( -1.099  2.001  0.501 )
( -1.099  2.101  0.501 )
( -1.099  2.201  0.501 )
( -1.099  2.301  0.501 )
( -1.099  2.401  0.501 )
( -1.099  2.501  0.501 )
( -1.099  2.601  0.501 )
( -1.099  2.701  0.501 )
( -1.099  2.801  0.501 )
( -1.099  2.901  0.501 )
( -1.099  2.999  0.501 )
( -0.999  1.101  0.501 )
( -0.999  1.201  0.501 )
( -0.999  1.301  0.501 )
( -0.999  1.401  0.501 )
( -0.999  1.501  0.501 )
( -0.999  1.601  0.501 )
( -0.999  1.701  0.501 )
( -0.999  1.801  0.501 )
( -0.999  1.901  0.501 )
( -0.999  2.001  0.501 )
( -0.999  2.101  0.501 )
( -0.999  2.201  0.501 )
( -0.999  2.301  0.501 )
( -0.999  2.401  0.501 )
( -0.999  2.501  0.501 )
( -0.999  2.601  0.501 )
( -0.999  2.701  0.501 )
( -0.999  2.801  0.501 )
( -0.999  2.901  0.501 )
( -0.999  2.999  0.501 )
( -0.899  1.101  0.501 )
( -0.899  1.201  0.501 )
( -0.899  1.301  0.501 )
( -0.899  1.401  0.501 )
( -0.899  1.501  0.501 )
( -0.899  1.601  0.501 )
( -0.899  1.701  0.501 )
( -0.899  1.801  0.501 )
( -0.899  1.901  0.501 )
( -0.899  2.001  0.501 )
( -0.899  2.101  0.501 )
( -0.899  2.201  0.501 )
( -0.899  2.301  0.501 )
( -0.899  2.401  0.501 )
( -0.899  2.501  0.501 )
( -0.899  2.601  0.501 )
( -0.899  2.701  0.501 )
( -0.899  2.801  0.501 )
( -0.899  2.901  0.501 )
( -0.899  2.999  0.501 )
( -0.799  1.101  0.501 )
( -0.799  1.201  0.501 )
